Source,Target,Weight,product
stadia_future,stadia_gaming,32,stadia
stadia_actually,stadia_future,5,stadia
stadia_actually,stadia_gaming,7,stadia
stadia_actually,stadia_internet,7,stadia
stadia_future,stadia_internet,6,stadia
stadia_gaming,stadia_internet,11,stadia
stadia_console,stadia_controller,4,stadia
stadia_connection,stadia_internet,26,stadia
stadia_free,stadia_game,12,stadia
stadia_internet,stadia_video,6,stadia
stadia_controller,stadia_gaming,4,stadia
stadia_service,stadia_streaming,16,stadia
stadia_console,stadia_gaming,13,stadia
stadia_console,stadia_streaming,9,stadia
stadia_gaming,stadia_streaming,9,stadia
stadia_console,stadia_game,17,stadia
stadia_console,stadia_need,5,stadia
stadia_game,stadia_need,7,stadia
stadia_console,stadia_future,3,stadia
stadia_play,stadia_remember,6,stadia
stadia_play,stadia_subscription,6,stadia
stadia_cloud,stadia_future,3,stadia
stadia_cloud,stadia_gaming,25,stadia
stadia_internet,stadia_latency,10,stadia
stadia_connection,stadia_consoles,3,stadia
stadia_connection,stadia_future,4,stadia
stadia_connection,stadia_game,12,stadia
stadia_connection,stadia_gaming,6,stadia
stadia_connection,stadia_service,6,stadia
stadia_consoles,stadia_future,3,stadia
stadia_consoles,stadia_game,7,stadia
stadia_consoles,stadia_gaming,3,stadia
stadia_future,stadia_game,4,stadia
stadia_future,stadia_service,5,stadia
stadia_game,stadia_gaming,13,stadia
stadia_game,stadia_service,17,stadia
stadia_gaming,stadia_service,6,stadia
stadia_console,stadia_consoles,7,stadia
stadia_future,stadia_games,10,stadia
stadia_games,stadia_gaming,19,stadia
stadia_games,stadia_playing,13,stadia
stadia_game,stadia_playing,5,stadia
stadia_gaming,stadia_gonna,4,stadia
stadia_fail,stadia_future,4,stadia
stadia_fail,stadia_game,3,stadia
stadia_fail,stadia_gaming,3,stadia
stadia_future,stadia_play,5,stadia
stadia_gaming,stadia_play,13,stadia
stadia_console,stadia_games,24,stadia
stadia_console,stadia_idea,4,stadia
stadia_console,stadia_platform,4,stadia
stadia_controller,stadia_games,5,stadia
stadia_controller,stadia_platform,3,stadia
stadia_games,stadia_idea,6,stadia
stadia_games,stadia_platform,15,stadia
stadia_games,stadia_streaming,22,stadia
stadia_idea,stadia_streaming,6,stadia
stadia_platform,stadia_streaming,6,stadia
stadia_console,stadia_remember,4,stadia
stadia_future,stadia_video,4,stadia
stadia_games,stadia_video,13,stadia
stadia_gaming,stadia_video,6,stadia
stadia_need,stadia_video,3,stadia
stadia_games,stadia_need,13,stadia
stadia_game,stadia_streaming,19,stadia
stadia_game,stadia_play,30,stadia
stadia_play,stadia_streaming,14,stadia
stadia_gaming,stadia_youtube,5,stadia
stadia_actually,stadia_play,8,stadia
stadia_game,stadia_video,14,stadia
stadia_play,stadia_video,6,stadia
stadia_games,stadia_gonna,6,stadia
stadia_games,stadia_play,42,stadia
stadia_connection,stadia_games,12,stadia
